Date,Open,High,Low,Close,Adj Close,Volume,,,,mean,,MAM
05-02-17,41700,41840,41670,41790,41259.53516,47021,,,,,,
06-02-17,41890,42320,41700,42030,41496.49609,59864,,,,,,
07-02-17,42300,42550,42000,42550,42009.89453,78622,,,,,,
08-02-17,42860,43550,42210,42320,41782.80859,99034,,,,,,
09-02-17,42530,43010,42310,43010,42464.05469,290558,,,,,,
12-02-17,43440,43840,43440,43670,43115.67578,41275,,,,,,
13-02-17,43800,44260,43560,43990,43431.60547,55246,,,,,,
14-02-17,44020,44160,43600,43910,43352.63281,60231,,,,,,
15-02-17,44000,44040,43240,43350,42799.74219,90531,,,,,,
16-02-17,43350,43600,43060,43400,42849.10156,107553,,,,,,
19-02-17,43830,43860,43620,43790,43234.15234,51520,,,,,,
20-02-17,43790,43880,43420,43460,42908.35156,41534,,,,,,
21-02-17,43700,43790,43200,43500,42947.83984,44611,,,,,,
22-02-17,43500,43500,42890,43300,42750.37109,58181,,,,,,
23-02-17,43020,43300,42870,43300,42750.37109,113110,,,,,,
26-02-17,43450,43890,43380,43710,43155.17969,34328,,,,,,
27-02-17,43800,43940,42480,43200,42651.64453,101692,,,,,,
28-02-17,43400,43590,42900,43050,42503.54688,89009,,,,,,
01-03-17,43050,43490,42940,43320,42770.11328,62029,,,,,,
02-03-17,43600,43660,43330,43400,42849.10156,162260,,,,,,
05-03-17,43750,43880,43560,43830,43273.64844,20194,,,,,,
06-03-17,43750,43790,43190,43200,42651.64453,68616,,,,,,
07-03-17,43500,43880,43270,43880,43323.01172,51192,,,,,,
08-03-17,43880,44100,43660,43660,43105.80078,30487,,,,,,
09-03-17,43780,44380,43560,43800,43244.02734,74971,,,,,,
13-03-17,43970,44280,43820,44020,43461.23047,55402,,,,,,
14-03-17,44030,44340,43710,43710,43155.17969,57199,,,,,,
15-03-17,43740,43990,43070,43200,42651.64453,65248,,,,,,
16-03-17,43640,43640,43160,43300,42750.37109,75838,,,,,,
19-03-17,43500,43830,43430,43690,43135.42188,41510,,,,,,
